url,label
https://www.python.org,0
http://verify-payment-method.online,1
https://www.github.com,0
http://login-secure-bank.xyz,1
https://www.microsoft.com,0
https://www.python.org,0
https://verify-paypal-account.net,1
http://login-secure-bank.xyz,1
http://verify-payment-method.online,1
http://verify-payment-method.online,1
http://verify-payment-method.online,1
https://www.microsoft.com,0
https://www.github.com,0
http://login-secure-bank.xyz,1
https://www.microsoft.com,0
https://verify-paypal-account.net,1
http://login-secure-bank.xyz,1
https://www.stackoverflow.com,0
https://www.google.com,0
https://www.python.org,0
http://login-secure-bank.xyz,1
http://urgent-account-update.com,1
http://verify-payment-method.online,1
https://www.python.org,0
https://www.stackoverflow.com,0
https://www.github.com,0
https://www.python.org,0
http://login-secure-bank.xyz,1
https://www.stackoverflow.com,0
https://verify-paypal-account.net,1
https://www.stackoverflow.com,0
http://urgent-account-update.com,1
https://www.python.org,0
https://www.github.com,0
https://www.microsoft.com,0
https://www.google.com,0
https://www.stackoverflow.com,0
https://verify-paypal-account.net,1
https://www.github.com,0
http://login-secure-bank.xyz,1
https://secure-login-amazon.info,1
https://www.microsoft.com,0
https://www.microsoft.com,0
http://urgent-account-update.com,1
https://www.stackoverflow.com,0
https://www.google.com,0
http://login-secure-bank.xyz,1
https://www.microsoft.com,0
https://www.stackoverflow.com,0
http://urgent-account-update.com,1
https://www.microsoft.com,0
https://verify-paypal-account.net,1
https://www.python.org,0
http://urgent-account-update.com,1
http://verify-payment-method.online,1
http://login-secure-bank.xyz,1
https://www.stackoverflow.com,0
https://secure-login-amazon.info,1
https://verify-paypal-account.net,1
https://www.github.com,0
https://www.github.com,0
https://www.python.org,0
https://www.google.com,0
https://www.microsoft.com,0
https://www.python.org,0
http://login-secure-bank.xyz,1
http://urgent-account-update.com,1
https://www.microsoft.com,0
http://verify-payment-method.online,1
https://www.stackoverflow.com,0
http://urgent-account-update.com,1
http://verify-payment-method.online,1
https://verify-paypal-account.net,1
https://www.python.org,0
http://login-secure-bank.xyz,1
http://verify-payment-method.online,1
http://verify-payment-method.online,1
https://secure-login-amazon.info,1
